"";"MXP001691213";"FR0000120503";"GB0030913577";"KYG217651051";"DE0005557508";"NL0000009082";"GB00B8W67662";"ZAE000042164";"FR0000133308";"BE0003810273";"IT0003497168";"ES0178430E18";"GB00B0SWJX34";"NO0010063308";"SE0000667925";"FR0000127771";"GB00BH4HKS39"
"DE_IMIB.csv";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"DE_IPIR.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IQQ0.csv";0;0;1;1;1;0;0;0;1;1;0;0;0;1;1;0;1
"DE_IQQ5.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IQQ9.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IQQA.csv";0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"DE_IQQB.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IQQC.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IQQD.csv";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"DE_IQQE.csv";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"DE_IQQF.csv";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IQQG.csv";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0
"DE_IQQH.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IQQI.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IQQJ.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IQQK.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IQQL.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IQQM.csv";0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0
"DE_IQQN.csv";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"DE_IQQQ.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IQQR.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IQQS.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IQQT.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IQQU.csv";0;1;0;0;1;1;0;0;1;1;1;1;0;1;1;1;0
"DE_IQQV.csv";0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"DE_IQQW.csv";0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"DE_IQQX.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IQQY.csv";0;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1
"DE_IS0D.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IS0E.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IS3G.csv";0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0
"DE_IS3H.csv";0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0
"DE_IS3N.csv";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"DE_IS3Q.csv";0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"DE_IS3R.csv";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
"DE_IS3S.csv";0;1;1;1;0;0;0;0;1;0;1;1;0;0;0;0;1
"DE_IS3T.csv";0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0
"DE_ISDE.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_ISFE.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_ISPA.csv";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"DE_ISUS.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_ISWD.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IUCM.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IUS2.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IUS3.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IUS4.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IUS8.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IUSA.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IUSC.csv";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IUSK.csv";0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0
"DE_IUSL.csv";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"DE_IUSN.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IUSQ.csv";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
"DE_IUSR.csv";0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0
"DE_IUSS.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IUSZ.csv";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"DE_LOCK.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_MIDD.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_NDIA.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_OM3X.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"DE_OPEN.csv";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1
"DE_QDVA.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_QDVB.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_QDVC.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_QDVD.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_QDVE.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_QDVF.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_QDVG.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_QDVH.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_QDVI.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_QDVK.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_QDVM.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_QDVN.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_QDVR.csv";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"DE_QDVS.csv";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"DE_QDVW.csv";0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1
"DE_QDVX.csv";0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
"DE_SGAJ.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_SGAS.csv";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"DE_SLMA.csv";0;1;0;0;1;1;0;0;1;1;1;1;0;0;0;1;0
"DE_SLMC.csv";0;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1
"DE_SNAW.csv";0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"DE_SPAG.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_SXR1.csv";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_SXR2.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_SXR3.csv";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"DE_SXR4.csv";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"DE_SXR5.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_SXR6.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_SXR7.csv";0;1;0;0;1;1;0;0;1;1;1;1;0;0;0;1;0
"DE_SXR8.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_SXRD.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_SXRG.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_SXRJ.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_SXRT.csv";0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0
"DE_SXRU.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_SXRV.csv";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"DE_SXRW.csv";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"DE_SXRY.csv";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"DE_SXRZ.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_WOOD.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_AAXJ.csv";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_ACWF.csv";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"US_ACWI.csv";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1
"US_ACWV.csv";0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0
"US_ACWX.csv";1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1
"US_AGT.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_AIA.csv";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_AMCA.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_BKF.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_CNYA.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_CRBN.csv";1;0;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1
"US_DGRO.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_DIVB.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_DSI.csv";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"US_DVY.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_DVYA.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_DVYE.csv";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"US_ECH.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_ECNS.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EDEN.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EEM.csv";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"US_EEMA.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EEMS.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EEMV.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EFA.csv";0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1
"US_EFAV.csv";0;0;1;0;1;0;0;0;1;1;0;0;0;1;1;0;1
"US_EFG.csv";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0
"US_EFNL.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EFV.csv";0;1;1;1;1;0;0;0;1;1;1;1;0;1;1;0;1
"US_EIDO.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EIRL.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EIS.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EMGF.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EMIF.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EMXC.csv";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"US_ENOR.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"US_ENZL.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EPHE.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EPOL.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EPP.csv";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EPU.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_ERUS.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_ESGD.csv";0;1;1;0;1;1;0;0;1;0;0;1;1;1;1;1;1
"US_ESGE.csv";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"US_ESGU.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_ESML.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EUFN.csv";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"US_EUMV.csv";0;0;1;0;1;1;0;0;1;1;0;0;0;1;1;0;1
"US_EUSA.csv";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"US_EWA.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EWC.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EWD.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"US_EWG.csv";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"US_EWGS.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EWH.csv";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EWI.csv";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"US_EWJ.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EWJE.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EWJV.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EWK.csv";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"US_EWL.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EWM.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EWN.csv";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"US_EWO.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EWP.csv";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"US_EWQ.csv";0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"US_EWS.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EWT.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EWU.csv";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"US_EWUS.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EWW.csv";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EWY.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EWZ.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EWZS.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EXI.csv";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_EZA.csv";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"US_EZU.csv";0;1;0;0;1;1;0;0;1;1;1;1;0;0;0;1;0
"US_FILL.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_FM.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_FOVL.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_FXI.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_HDV.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_IAI.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_IAK.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_IAT.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_IBB.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_ICLN.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_ICOL.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_IDEV.csv";0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1
"US_IDNA.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_IDRV.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_IDU.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"US_IDV.csv";0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;1
